frequency;MAG;PHA
100.0;-75.1416666666667;0180
126.63801734674034;-74.9421875;0180
160.3718743751331;-74.9672131147541;0180
203.09176209047348;-74.1900000000001;0180
257.19138090593447;-73.4362962962963;180
325.7020655659783;-72.2613636363636;0178
412.4626382901352;-71.0097701149425;0177
522.3345074266844;-69.310650887574;0175
661.4740641230146;-67.195061728395;0175
837.6776400682916;-64.7272506082725;175
1060.8183551394482;-62.0184510250569;175
1343.3993325989002;-58.6723150357995;175
1701.2542798525892;-54.9809302325581;175
2154.4346900318824;-51.3099787685775;175
2728.3333764867693;-47.5405764966741;175.1486486486486
3455.1072945922183;-43.6036697247707;170.990853658537
4375.479375074185;-39.5968523002423;160.598901098901
5541.020330009492;-35.5255000000001;160.689373297003
7017.038286703822;-31.3936386768446;160.683706070288
8886.238162743408;-27.1963824289406;163.597183098592
11253.355826007646;-22.8987499999998;160.881215469613
14251.026703029964;-18.4984886649874;160.02842377261
18047.217668271704;-13.8997435897435;157.455729166667
22854.63864134993;-9.09999999999996;150.636103151862
28942.661247167518;-4.0;136.755043227666
36652.41237079626;0.800000000000005;109.632947976879
46415.888336127726;3.20029239766084;73.1231671554252
58780.16072274912;2.79999999999998;45.4776119402985
74438.03013251696;1.89696969696969;29.6261398176292
94266.84551178855;1.10092592592593;21.2352941176471
119377.66417144358;0.700000000000001;14.6176470588235
151177.507061566;0.4;10.0153846153846
191448.19761699575;0.2;6.41269841269841
242446.20170823307;0.0409836065573771;3.57377049180328
307029.062975785;0.0;0.53448275862069
388815.51803080854;-0.1;-2.41818181818182
492388.26317067316;-0.1;-4.58490566037736
623550.7341273912;-0.103846153846154;-7.32692307692308
789652.2868499733;-0.2;-11.86
1000000.0;-0.2;-15.9166666666667
