frequency;MAG;PHA
10.0;0.0;0.0
11.233240329780276;0.0;0.0
12.618568830660204;0.0;0.0
14.174741629268055;0.0;0.0
15.922827933410922;0.0;0.0
17.886495290574352;0.0;0.0
20.09233002565047;0.0;0.0
22.570197196339205;0.0;0.0
25.353644939701113;0.0;0.0
28.48035868435802;0.0;0.0
31.992671377973846;0.0;0.0
35.938136638046274;0.0;0.0
40.37017258596554;0.0;0.0
45.34878508128582;0.0;0.0
50.9413801481638;0.0;0.0
57.22367659350217;0.0;0.0
64.28073117284319;0.0;0.0
72.20809018385464;0.0;0.0
81.11308307896873;0.0;0.0
91.11627561154891;0.0;0.0
102.35310218990269;0.0;0.0
114.97569953977356;0.0;0.0
129.1549665014884;0.0;0.0
145.082877849594;0.0;0.0
162.97508346206433;0.0;0.0
183.07382802953677;0.0;0.0
205.65123083486515;0.0;0.0
231.0129700083158;0.0;0.0
259.5024211399737;0.0;0.0
291.50530628251755;0.0;0.0
327.45491628777285;0.0;0.0
367.8379771828634;0.0;0.0
413.20124001153346;0.0;0.0
464.1588833612782;0.0;0.0
521.4008287999684;0.0;0.0
585.7020818056667;0.0;0.0
657.9332246575682;0.0;0.0
739.0722033525775;0.0;0.0
830.2175681319744;0.0;0.0
932.60334688322;0.0;-0.0023094688221709
1047.615752789665;0.0;-0.00459770114942529
1176.811952434998;0.0;-0.787589498806683
1321.9411484660286;0.0;-1.0
1484.9682622544651;0.0;-1.0
1668.100537200059;0.0;-1.0
1873.817422860383;0.0;-1.0
2104.9041445120197;0.0;-2.45733041575492
2364.4894126454074;0.0;-3.0
2656.0877829466867;0.0;-3.0
2983.64724028334;0.0;-3.0
3351.6026509388407;0.0;-3.46990740740741
3764.9358067924672;0.0;-4.0
4229.242874389499;0.0;-4.0
4750.810162102798;0.0;-5.68734491315136
5336.699231206308;0.0;-5.98503740648379
5994.8425031894085;0.0;-6.36616161616161
6734.150657750822;0.0;-6.96305418719212
7564.633275546291;-0.098267326732674;-8.76732673267326
8497.534359086438;-0.100000000000001;-7.14832535885167
9545.484566618337;-0.100000000000001;-9.0379746835443
10722.672220103232;-0.100000000000001;-10.9750623441397
12045.035402587837;-0.200000000000001;-12.2493765586035
13530.477745798076;-0.21920199501247;-13.6882793017456
15199.11082952933;-0.299999999999999;-15.9848866498741
17073.526474706887;-0.400253164556965;-17.7157360406091
19179.10261672489;-0.599999999999997;-21.7855297157623
21544.346900318866;-0.898840579710144;-25.9971014492754
24201.282647943834;-1.29885057471265;-29.3591954022989
27185.8824273294;-1.89999999999999;-35.0603448275862
30538.555088334124;-3.10028901734105;-43.3526011560694
34304.69286314919;-5.5;-53.7965616045845
38535.28593710528;-10.899423631124;-64.167701863354
43287.612810830615;-inf;-15.7731481481481
48626.015800653535;-9.42719298245617;54.8703703703704
54622.77217684337;-5.19911764705885;47.9144542772861
61359.07273413163;-3.1594117647059;39.1686390532545
68926.12104349695;-2.09970059880241;32.3203592814372
77426.36826811278;-1.45855855855855;26.6966966966967
86974.90026177834;-1.06193353474321;21.8545454545454
97700.99572992246;-0.799688473520254;17.9688473520249
109749.87654930567;-0.600000000000001;16.0
123284.67394420659;-0.5;13.0
138488.63713938717;-0.4;11.9545454545455
155567.61439304723;-0.3;8.98461538461538
174752.8400007683;-0.3;7.0
196304.06500402724;-0.2;6.03174603174603
220513.07399030458;-0.2;4.0655737704918
247707.6355991709;-0.2;3.01666666666667
278255.94022071257;-0.2;2.49152542372881
312571.58496882353;-0.2;1.0
351119.17342151277;-0.0999999999999999;0.0
394420.6059437656;-0.1;-1.0
443062.14575838775;-0.1;-3.0
497702.35643321136;-0.1;-4.0
559081.0182512222;-0.1;-6.47169811320755
628029.1441834247;-0.1;-7.31372549019608
705480.2310718645;-0.1;-9.74
792482.898353917;-0.196;-11.28
890215.0854450393;-0.2;-14.0
1000000.0;-0.2;-16.0
