Freq.	V(n003)
1.00000000000000e+001	(-7.53898463473602e+001dB,8.99902582806593e+001°)
1.00230523807790e+001	(-7.53698463453281e+001dB,8.99902358236744e+001°)
1.00461579027840e+001	(-7.53498463432866e+001dB,8.99902133149209e+001°)
1.00693166885180e+001	(-7.53298463412358e+001dB,8.99901907542792e+001°)
1.00925288607668e+001	(-7.53098463391754e+001dB,8.99901681416299e+001°)
1.01157945425990e+001	(-7.52898463371056e+001dB,8.99901454768530e+001°)
1.01391138573668e+001	(-7.52698463350261e+001dB,8.99901227598285e+001°)
1.01624869287070e+001	(-7.52498463329371e+001dB,8.99900999904357e+001°)
1.01859138805412e+001	(-7.52298463308385e+001dB,8.99900771685541e+001°)
1.02093948370768e+001	(-7.52098463287301e+001dB,8.99900542940625e+001°)
1.02329299228075e+001	(-7.51898463266121e+001dB,8.99900313668398e+001°)
1.02565192625141e+001	(-7.51698463244842e+001dB,8.99900083867644e+001°)
1.02801629812647e+001	(-7.51498463223465e+001dB,8.99899853537144e+001°)
1.03038612044162e+001	(-7.51298463201990e+001dB,8.99899622675677e+001°)
1.03276140576140e+001	(-7.51098463180416e+001dB,8.99899391282020e+001°)
1.03514216667934e+001	(-7.50898463158742e+001dB,8.99899159354945e+001°)
1.03752841581801e+001	(-7.50698463136967e+001dB,8.99898926893222e+001°)
1.03992016582906e+001	(-7.50498463115093e+001dB,8.99898693895620e+001°)
1.04231742939330e+001	(-7.50298463093117e+001dB,8.99898460360902e+001°)
1.04472021922080e+001	(-7.50098463071040e+001dB,8.99898226287831e+001°)
1.04712854805090e+001	(-7.49898463048861e+001dB,8.99897991675166e+001°)
1.04954242865232e+001	(-7.49698463026580e+001dB,8.99897756521663e+001°)
1.05196187382322e+001	(-7.49498463004196e+001dB,8.99897520826075e+001°)
1.05438689639126e+001	(-7.49298462981708e+001dB,8.99897284587151e+001°)
1.05681750921366e+001	(-7.49098462959117e+001dB,8.99897047803641e+001°)
1.05925372517729e+001	(-7.48898462936421e+001dB,8.99896810474288e+001°)
1.06169555719872e+001	(-7.48698462913621e+001dB,8.99896572597835e+001°)
1.06414301822431e+001	(-7.48498462890716e+001dB,8.99896334173019e+001°)
1.06659612123026e+001	(-7.48298462867704e+001dB,8.99896095198577e+001°)
1.06905487922266e+001	(-7.48098462844587e+001dB,8.99895855673242e+001°)
1.07151930523761e+001	(-7.47898462821363e+001dB,8.99895615595744e+001°)
1.07398941234124e+001	(-7.47698462798031e+001dB,8.99895374964810e+001°)
1.07646521362983e+001	(-7.47498462774592e+001dB,8.99895133779164e+001°)
1.07894672222983e+001	(-7.47298462751045e+001dB,8.99894892037527e+001°)
1.08143395129794e+001	(-7.47098462727389e+001dB,8.99894649738618e+001°)
1.08392691402120e+001	(-7.46898462703624e+001dB,8.99894406881153e+001°)
1.08642562361706e+001	(-7.46698462679749e+001dB,8.99894163463843e+001°)
1.08893009333343e+001	(-7.46498462655764e+001dB,8.99893919485397e+001°)
1.09144033644875e+001	(-7.46298462631668e+001dB,8.99893674944523e+001°)
1.09395636627209e+001	(-7.46098462607461e+001dB,8.99893429839924e+001°)
1.09647819614318e+001	(-7.45898462583142e+001dB,8.99893184170301e+001°)
1.09900583943252e+001	(-7.45698462558711e+001dB,8.99892937934350e+001°)
1.10153930954141e+001	(-7.45498462534167e+001dB,8.99892691130766e+001°)
1.10407861990207e+001	(-7.45298462509510e+001dB,8.99892443758241e+001°)
1.10662378397766e+001	(-7.45098462484739e+001dB,8.99892195815464e+001°)
1.10917481526240e+001	(-7.44898462459854e+001dB,8.99891947301118e+001°)
1.11173172728159e+001	(-7.44698462434854e+001dB,8.99891698213889e+001°)
