Freq.	V(n002)
1.00000000000000e+001	(-1.25548088877295e-007dB,-9.74160056473657e-003°)
1.00230523807790e+001	(-1.26127734553908e-007dB,-9.76405725991764e-003°)
1.00461579027840e+001	(-1.26709900018267e-007dB,-9.78656571559392e-003°)
1.00693166885180e+001	(-1.27294593949319e-007dB,-9.80912608198935e-003°)
1.00925288607668e+001	(-1.27882225221917e-007dB,-9.83173847594431e-003°)
1.01157945425990e+001	(-1.28472249955362e-007dB,-9.85440298091715e-003°)
1.01391138573668e+001	(-1.29065554366610e-007dB,-9.87711971374770e-003°)
1.01624869287070e+001	(-1.29661359279056e-007dB,-9.89988882466079e-003°)
1.01859138805412e+001	(-1.30259597189778e-007dB,-9.92271044718889e-003°)
1.02093948370768e+001	(-1.30860835123334e-007dB,-9.94558468148063e-003°)
1.02329299228075e+001	(-1.31465004612475e-007dB,-9.96851161099384e-003°)
1.02565192625141e+001	(-1.32072041047260e-007dB,-9.99149136926096e-003°)
1.02801629812647e+001	(-1.32681485407808e-007dB,-1.00145241565811e-002°)
1.03038612044162e+001	(-1.33293900861368e-007dB,-1.00376100230283e-002°)
1.03276140576140e+001	(-1.33909140830165e-007dB,-1.00607491021351e-002°)
1.03514216667934e+001	(-1.34527299818292e-007dB,-1.00839415107422e-002°)
1.03752841581801e+001	(-1.35148314180136e-007dB,-1.01071873990737e-002°)
1.03992016582906e+001	(-1.35771958263066e-007dB,-1.01304868839706e-002°)
1.04231742939330e+001	(-1.36398795234333e-007dB,-1.01538400822731e-002°)
1.04472021922080e+001	(-1.37028289892186e-007dB,-1.01772471108226e-002°)
1.04712854805090e+001	(-1.37660848218493e-007dB,-1.02007080697681e-002°)
1.04954242865232e+001	(-1.38296008300393e-007dB,-1.02242231427170e-002°)
1.05196187382322e+001	(-1.38934654426187e-007dB,-1.02477924131261e-002°)
1.05438689639126e+001	(-1.39575931237398e-007dB,-1.02714160145287e-002°)
1.05681750921366e+001	(-1.40219933238122e-007dB,-1.02950940971488e-002°)
1.05925372517729e+001	(-1.40867302670461e-007dB,-1.03188267277516e-002°)
1.06169555719872e+001	(-1.41517579550207e-007dB,-1.03426140899448e-002°)
1.06414301822431e+001	(-1.42170699267420e-007dB,-1.03664562671863e-002°)
1.06659612123026e+001	(-1.42826993550754e-007dB,-1.03903534430826e-002°)
1.06905487922266e+001	(-1.43486393932959e-007dB,-1.04143056677084e-002°)
1.07151930523761e+001	(-1.44148522397662e-007dB,-1.04383131413629e-002°)
1.07398941234124e+001	(-1.44814024079950e-007dB,-1.04623759141199e-002°)
1.07646521362983e+001	(-1.45482438995614e-007dB,-1.04864941862784e-002°)
1.07894672222983e+001	(-1.46153859720093e-007dB,-1.05106680746793e-002°)
1.08143395129794e+001	(-1.46828458868008e-007dB,-1.05348976627801e-002°)
1.08392691402120e+001	(-1.47506248975616e-007dB,-1.05591831008046e-002°)
