Freq.	V(n003)
1.00000000000000e+001	(-1.43718727845781e+002dB,1.78167092559845e+002°)
1.00230523807790e+001	(-1.43678748040980e+002dB,1.78171260447515e+002°)
1.00461579027840e+001	(-1.43638768143465e+002dB,1.78175418665290e+002°)
1.00693166885180e+001	(-1.43598788153662e+002dB,1.78179567235036e+002°)
1.00925288607668e+001	(-1.43558808071992e+002dB,1.78183706178574e+002°)
1.01157945425990e+001	(-1.43518827898878e+002dB,1.78187835517672e+002°)
1.01391138573668e+001	(-1.43478847634738e+002dB,1.78191955274048e+002°)
1.01624869287070e+001	(-1.43438867279990e+002dB,1.78196065469371e+002°)
1.01859138805412e+001	(-1.43398886835050e+002dB,1.78200166125263e+002°)
1.02093948370768e+001	(-1.43358906300330e+002dB,1.78204257263292e+002°)
1.02329299228075e+001	(-1.43318925676242e+002dB,1.78208338904981e+002°)
1.02565192625141e+001	(-1.43278944963197e+002dB,1.78212411071801e+002°)
1.02801629812647e+001	(-1.43238964161602e+002dB,1.78216473785175e+002°)
1.03038612044162e+001	(-1.43198983271863e+002dB,1.78220527066476e+002°)
1.03276140576140e+001	(-1.43159002294384e+002dB,1.78224570937031e+002°)
1.03514216667934e+001	(-1.43119021229567e+002dB,1.78228605418114e+002°)
1.03752841581801e+001	(-1.43079040077813e+002dB,1.78232630530955e+002°)
1.03992016582906e+001	(-1.43039058839520e+002dB,1.78236646296731e+002°)
1.04231742939330e+001	(-1.42999077515086e+002dB,1.78240652736574e+002°)
1.04472021922080e+001	(-1.42959096104904e+002dB,1.78244649871565e+002°)
1.04712854805090e+001	(-1.42919114609369e+002dB,1.78248637722739e+002°)
1.04954242865232e+001	(-1.42879133028871e+002dB,1.78252616311082e+002°)
1.05196187382322e+001	(-1.42839151363801e+002dB,1.78256585657531e+002°)
1.05438689639126e+001	(-1.42799169614546e+002dB,1.78260545782977e+002°)
1.05681750921366e+001	(-1.42759187781491e+002dB,1.78264496708261e+002°)
1.05925372517729e+001	(-1.42719205865022e+002dB,1.78268438454179e+002°)
1.06169555719872e+001	(-1.42679223865520e+002dB,1.78272371041476e+002°)
