Freq.	V(n003)
1.00000000000000e+001	(4.40245425478429e-007dB,-9.74171934069722e-003°)
1.00230523807790e+001	(4.42277504429089e-007dB,-9.76417632556653e-003°)
1.00461579027840e+001	(4.44318966285044e-007dB,-9.78668507915036e-003°)
1.00693166885180e+001	(4.46369849619383e-007dB,-9.80924572078796e-003°)
1.00925288607668e+001	(4.48430196862506e-007dB,-9.83185837009210e-003°)
1.01157945425990e+001	(4.50500056230777e-007dB,-9.85452314695526e-003°)
1.01391138573668e+001	(4.52579472083250e-007dB,-9.87724017154231e-003°)
1.01624869287070e+001	(4.54668481064361e-007dB,-9.90000956429791e-003°)
1.01859138805412e+001	(4.56767137176437e-007dB,-9.92283144594259e-003°)
1.02093948370768e+001	(4.58875478992568e-007dB,-9.94570593747614e-003°)
1.02329299228075e+001	(4.60993550871809e-007dB,-9.96863316017652e-003°)
1.02565192625141e+001	(4.63121402959178e-007dB,-9.99161323560261e-003°)
1.02801629812647e+001	(4.65259073827764e-007dB,-1.00146462855919e-002°)
1.03038612044162e+001	(4.67406613622585e-007dB,-1.00377324322637e-002°)
1.03276140576140e+001	(4.69564062845386e-007dB,-1.00608717980190e-002°)
1.03514216667934e+001	(4.71731471641185e-007dB,-1.00840645055402e-002°)
1.03752841581801e+001	(4.73908886297690e-007dB,-1.01073106777927e-002°)
1.03992016582906e+001	(4.76096351173955e-007dB,-1.01306104380263e-002°)
1.04231742939330e+001	(4.78293910629033e-007dB,-1.01539639097739e-002°)
1.04472021922080e+001	(4.80501614807942e-007dB,-1.01773712168527e-002°)
1.04712854805090e+001	(4.82719509998390e-007dB,-1.02008324833670e-002°)
1.04954242865232e+001	(4.84947642488085e-007dB,-1.02243478337061e-002°)
1.05196187382322e+001	(4.87186058564735e-007dB,-1.02479173925459e-002°)
1.05438689639126e+001	(4.89434808373357e-007dB,-1.02715412848505e-002°)
1.05681750921366e+001	(4.91693936273005e-007dB,-1.02952196358714e-002°)
1.05925372517729e+001	(4.93963490480040e-007dB,-1.03189525711489e-002°)
1.06169555719872e+001	(4.96243523068136e-007dB,-1.03427402165128e-002°)
1.06414301822431e+001	(4.98534080324999e-007dB,-1.03665826980833e-002°)
1.06659612123026e+001	(5.00835210466991e-007dB,-1.03904801422715e-002°)
1.06905487922266e+001	(5.03146957853166e-007dB,-1.04144326757782e-002°)
1.07151930523761e+001	(5.05469380343159e-007dB,-1.04384404255987e-002°)
1.07398941234124e+001	(5.07802520367367e-007dB,-1.04625035190188e-002°)
1.07646521362983e+001	(5.10146429999463e-007dB,-1.04866220836197e-002°)
1.07894672222983e+001	(5.12501159384463e-007dB,-1.05107962472761e-002°)
1.08143395129794e+001	(5.14866756738728e-007dB,-1.05350261381562e-002°)
1.08392691402120e+001	(5.17243274135929e-007dB,-1.05593118847255e-002°)
1.08642562361706e+001	(5.19630759792429e-007dB,-1.05836536157443e-002°)
1.08893009333343e+001	(5.22029265781899e-007dB,-1.06080514602701e-002°)
1.09144033644875e+001	(5.24438842249353e-007dB,-1.06325055476587e-002°)
1.09395636627209e+001	(5.26859547054428e-007dB,-1.06570160075633e-002°)
1.09647819614318e+001	(5.29291416841556e-007dB,-1.06815829699351e-002°)
1.09900583943252e+001	(5.31734517184991e-007dB,-1.07062065650273e-002°)
1.10153930954141e+001	(5.34188892443784e-007dB,-1.07308869233912e-002°)
1.10407861990207e+001	(5.36654592762951e-007dB,-1.07556241758801e-002°)
1.10662378397766e+001	(5.39131683716747e-007dB,-1.07804184536489e-002°)
1.10917481526240e+001	(5.41620201949602e-007dB,-1.08052698881539e-002°)
1.11173172728159e+001	(5.44120203392496e-007dB,-1.08301786111558e-002°)
1.11429453359173e+001	(5.46631747833719e-007dB,-1.08551447547176e-002°)
1.11686324778056e+001	(5.49154885418286e-007dB,-1.08801684512085e-002°)
1.11943788346715e+001	(5.51689670148521e-007dB,-1.09052498333009e-002°)
1.12201845430196e+001	(5.54236156026748e-007dB,-1.09303890339750e-002°)
1.12460497396692e+001	(5.56794389340674e-007dB,-1.09555861865156e-002°)
1.12719745617551e+001	(5.59364439521861e-007dB,-1.09808414245166e-002°)
1.12979591467279e+001	(5.61946350929358e-007dB,-1.10061548818782e-002°)
1.13240036323555e+001	(5.64540175636835e-007dB,-1.10315266928107e-002°)
1.13501081567231e+001	(5.67145971503926e-007dB,-1.10569569918326e-002°)
1.13762728582343e+001	(5.69763800247573e-007dB,-1.10824459137737e-002°)
1.14024978756117e+001	(5.72393710084137e-007dB,-1.11079935937732e-002°)
1.14287833478977e+001	(5.75035758873249e-007dB,-1.11336001672830e-002°)
1.14551294144553e+001	(5.77690002545889e-007dB,-1.11592657700675e-002°)
1.14815362149688e+001	(5.80356498961689e-007dB,-1.11849905382017e-002°)
1.15080038894443e+001	(5.83035305980282e-007dB,-1.12107746080776e-002°)
1.15345325782109e+001	(5.85726473746681e-007dB,-1.12366181163995e-002°)
1.15611224219210e+001	(5.88430063977830e-007dB,-1.12625212001871e-002°)
1.15877735615512e+001	(5.91146134533359e-007dB,-1.12884839967763e-002°)
1.16144861384034e+001	(5.93874741344248e-007dB,-1.13145066438197e-002°)
1.16412602941049e+001	(5.96615940341472e-007dB,-1.13405892792869e-002°)
1.16680961706096e+001	(5.99369795170629e-007dB,-1.13667320414656e-002°)
1.16949939101987e+001	(6.02136359834041e-007dB,-1.13929350689626e-002°)
1.17219536554813e+001	(6.04915694119995e-007dB,-1.14191985007037e-002°)
1.17489755493953e+001	(6.07707855888122e-007dB,-1.14455224759357e-002°)
1.17760597352080e+001	(6.10512910712673e-007dB,-1.14719071342255e-002°)
1.18032063565173e+001	(6.13330910667315e-007dB,-1.14983526154630e-002°)
1.18304155572516e+001	(6.16161915540335e-007dB,-1.15248590598586e-002°)
1.18576874816716e+001	(6.19005992834636e-007dB,-1.15514266079476e-002°)
1.18850222743701e+001	(6.21863192695232e-007dB,-1.15780554005887e-002°)
1.19124200802737e+001	(6.24733582625026e-007dB,-1.16047455789658e-002°)
1.19398810446427e+001	(6.27617220483651e-007dB,-1.16314972845878e-002°)
1.19674053130724e+001	(6.30514173774009e-007dB,-1.16583106592887e-002°)
1.19949930314937e+001	(6.33424496498423e-007dB,-1.16851858452319e-002°)
1.20226443461741e+001	(6.36348248445177e-007dB,-1.17121229849069e-002°)
1.20503594037179e+001	(6.39285500974485e-007dB,-1.17391222211320e-002°)
1.20781383510678e+001	(6.42236306160012e-007dB,-1.17661836970544e-002°)
