x-axis,1,2,3,
second,Volt,Volt,Volt,Vd
-2.50E-04,-2.06E+00,-5.78E-01,-6.02E-01,0.0234375
-2.50E-04,-2.09E+00,-5.87E-01,-6.09E-01,0.021484375
-2.49E-04,-2.10E+00,-5.98E-01,-6.15E-01,0.016796875
-2.49E-04,-2.12E+00,-6.07E-01,-6.20E-01,0.01328125
-2.48E-04,-2.13E+00,-6.16E-01,-6.25E-01,0.008984375
-2.48E-04,-2.15E+00,-6.23E-01,-6.30E-01,0.00703125
-2.47E-04,-2.16E+00,-6.26E-01,-6.34E-01,0.007421875
-2.47E-04,-2.17E+00,-6.28E-01,-6.37E-01,0.008984375
-2.46E-04,-2.18E+00,-6.32E-01,-6.39E-01,0.00703125
-2.46E-04,-2.18E+00,-6.34E-01,-6.41E-01,0.00703125
-2.45E-04,-2.19E+00,-6.35E-01,-6.43E-01,0.008203125
-2.45E-04,-2.19E+00,-6.34E-01,-6.43E-01,0.008984375
-2.44E-04,-2.19E+00,-6.34E-01,-6.43E-01,0.009765625
-2.44E-04,-2.19E+00,-6.32E-01,-6.43E-01,0.01015625
-2.43E-04,-2.18E+00,-6.27E-01,-6.40E-01,0.012890625
-2.43E-04,-2.18E+00,-6.27E-01,-6.39E-01,0.012109375
-2.42E-04,-2.17E+00,-6.24E-01,-6.37E-01,0.012890625
-2.42E-04,-2.16E+00,-6.22E-01,-6.34E-01,0.011328125
-2.41E-04,-2.14E+00,-6.20E-01,-6.30E-01,0.009765625
-2.41E-04,-2.13E+00,-6.15E-01,-6.25E-01,0.009765625
-2.40E-04,-2.11E+00,-6.09E-01,-6.20E-01,0.011328125
-2.40E-04,-2.10E+00,-6.03E-01,-6.14E-01,0.01171875
-2.39E-04,-2.08E+00,-5.95E-01,-6.07E-01,0.0125
-2.39E-04,-2.06E+00,-5.88E-01,-6.01E-01,0.012890625
-2.38E-04,-2.04E+00,-5.82E-01,-5.94E-01,0.01171875
-2.38E-04,-2.00E+00,-5.77E-01,-5.86E-01,0.009765625
-2.37E-04,-1.98E+00,-5.71E-01,-5.78E-01,0.006640625
-2.37E-04,-1.95E+00,-5.65E-01,-5.68E-01,0.003515625
-2.36E-04,-1.93E+00,-5.57E-01,-5.59E-01,0.001953125
-2.36E-04,-1.89E+00,-5.51E-01,-5.49E-01,0.0015625
-2.35E-04,-1.86E+00,-5.43E-01,-5.39E-01,0.004296875
-2.35E-04,-1.83E+00,-5.33E-01,-5.28E-01,0.00546875
-2.34E-04,-1.79E+00,-5.18E-01,-5.15E-01,0.003125
-2.34E-04,-1.75E+00,-5.04E-01,-5.03E-01,0.001171875
-2.33E-04,-1.71E+00,-4.89E-01,-4.91E-01,0.001953125
-2.33E-04,-1.67E+00,-4.73E-01,-4.78E-01,0.0046875
-2.32E-04,-1.63E+00,-4.57E-01,-4.63E-01,0.005859375
-2.32E-04,-1.59E+00,-4.43E-01,-4.48E-01,0.0046875
-2.31E-04,-1.55E+00,-4.27E-01,-4.34E-01,0.00703125
-2.31E-04,-1.50E+00,-4.14E-01,-4.19E-01,0.005078125
-2.30E-04,-1.46E+00,-4.01E-01,-4.04E-01,0.002734375
-2.30E-04,-1.41E+00,-3.89E-01,-3.88E-01,0.001171875
-2.29E-04,-1.36E+00,-3.73E-01,-3.72E-01,0.001171875
-2.29E-04,-1.30E+00,-3.60E-01,-3.55E-01,0.00546875
-2.28E-04,-1.25E+00,-3.46E-01,-3.39E-01,0.0078125
-2.28E-04,-1.20E+00,-3.32E-01,-3.22E-01,0.009375
-2.27E-04,-1.15E+00,-3.15E-01,-3.04E-01,0.0109375
-2.27E-04,-1.09E+00,-2.98E-01,-2.86E-01,0.012109375
-2.26E-04,-1.04E+00,-2.80E-01,-2.68E-01,0.011328125
-2.26E-04,-9.77E-01,-2.62E-01,-2.49E-01,0.012890625
-2.25E-04,-9.20E-01,-2.44E-01,-2.30E-01,0.013671875
-2.25E-04,-8.57E-01,-2.24E-01,-2.11E-01,0.012890625
-2.24E-04,-8.03E-01,-2.05E-01,-1.92E-01,0.012890625
-2.24E-04,-7.42E-01,-1.84E-01,-1.72E-01,0.01171875
-2.23E-04,-6.86E-01,-1.64E-01,-1.55E-01,0.008984375
-2.23E-04,-6.29E-01,-1.47E-01,-1.34E-01,0.01328125
-2.22E-04,-5.70E-01,-1.30E-01,-1.15E-01,0.01484375
-2.22E-04,-5.12E-01,-1.11E-01,-9.49E-02,0.01640625
-2.21E-04,-4.47E-01,-9.41E-02,-7.46E-02,0.01953125
-2.21E-04,-3.89E-01,-6.99E-02,-5.47E-02,0.015234375
-2.20E-04,-3.24E-01,-4.84E-02,-3.55E-02,0.012890625
-2.20E-04,-2.58E-01,-2.62E-02,-1.60E-02,0.01015625
-2.19E-04,-2.01E-01,-5.86E-03,3.52E-03,0.009375
-2.19E-04,-1.45E-01,1.37E-02,2.34E-02,0.009765625
-2.18E-04,-8.59E-02,3.16E-02,4.26E-02,0.0109375
-2.18E-04,-2.73E-02,4.84E-02,6.33E-02,0.01484375
-2.17E-04,3.13E-02,6.29E-02,8.32E-02,0.0203125
-2.17E-04,9.38E-02,8.09E-02,1.03E-01,0.022265625
-2.16E-04,1.52E-01,9.65E-02,1.22E-01,0.02578125
-2.16E-04,2.15E-01,1.13E-01,1.42E-01,0.0296875
-2.15E-04,2.73E-01,1.31E-01,1.61E-01,0.030468751
-2.15E-04,3.34E-01,1.54E-01,1.81E-01,0.027734375
-2.14E-04,3.89E-01,1.77E-01,2.01E-01,0.02421875
-2.14E-04,4.49E-01,2.00E-01,2.20E-01,0.01953125
-2.13E-04,5.00E-01,2.20E-01,2.38E-01,0.018359375
-2.13E-04,5.55E-01,2.42E-01,2.57E-01,0.01484375
-2.12E-04,6.11E-01,2.61E-01,2.74E-01,0.012890625
-2.12E-04,6.66E-01,2.81E-01,2.92E-01,0.0109375
-2.11E-04,7.21E-01,2.97E-01,3.09E-01,0.011328125
-2.11E-04,7.70E-01,3.14E-01,3.26E-01,0.012109375
-2.10E-04,8.24E-01,3.28E-01,3.43E-01,0.014453125
-2.10E-04,8.71E-01,3.43E-01,3.59E-01,0.016015625
-2.09E-04,9.26E-01,3.56E-01,3.75E-01,0.019140625
-2.09E-04,9.77E-01,3.70E-01,3.91E-01,0.02109375
-2.08E-04,1.02E+00,3.83E-01,4.07E-01,0.023828125
-2.08E-04,1.07E+00,3.96E-01,4.23E-01,0.026171875
-2.07E-04,1.11E+00,4.11E-01,4.37E-01,0.025390625
-2.07E-04,1.16E+00,4.27E-01,4.51E-01,0.024609375
-2.06E-04,1.19E+00,4.39E-01,4.64E-01,0.025390625
-2.06E-04,1.23E+00,4.53E-01,4.78E-01,0.024609375
-2.05E-04,1.27E+00,4.66E-01,4.89E-01,0.0234375
