x-axis,1,2,3
second,Volt,Volt,Volt
-5.00000E-06,+1.08593750000E+00,+498.43750743E-03,+459.76563185E-03
-4.99000E-06,+1.09765625000E+00,+502.73438249E-03,+464.84375693E-03
-4.98000E-06,+1.10937500000E+00,+507.81250757E-03,+469.53125700E-03
-4.97000E-06,+1.11718750000E+00,+511.71875763E-03,+474.21875707E-03
-4.96000E-06,+1.12890625000E+00,+516.40625770E-03,+479.29688214E-03
-4.95000E-06,+1.14453125000E+00,+519.92188275E-03,+483.59375721E-03
-4.94000E-06,+1.16015625000E+00,+523.82813281E-03,+488.28125728E-03
-4.93000E-06,+1.16796875000E+00,+527.73438286E-03,+492.96875735E-03
-4.92000E-06,+1.18359375000E+00,+531.64063292E-03,+497.26563241E-03
-4.91000E-06,+1.19531250000E+00,+535.15625797E-03,+501.56250747E-03
-4.90000E-06,+1.20312500000E+00,+539.06250803E-03,+506.25000754E-03
-4.89000E-06,+1.21484375000E+00,+543.35938310E-03,+510.54688261E-03
-4.88000E-06,+1.23046875000E+00,+546.87500815E-03,+514.45313267E-03
-4.87000E-06,+1.24218750000E+00,+550.39063320E-03,+518.75000773E-03
-4.86000E-06,+1.25390625000E+00,+553.90625825E-03,+522.26563278E-03
-4.85000E-06,+1.25781250000E+00,+557.42188331E-03,+526.17188284E-03
-4.84000E-06,+1.26953125000E+00,+560.54688335E-03,+530.07813290E-03
-4.83000E-06,+1.27343750000E+00,+564.06250841E-03,+533.98438296E-03
-4.82000E-06,+1.28906250000E+00,+567.18750845E-03,+537.50000801E-03
-4.81000E-06,+1.30078125000E+00,+570.31250850E-03,+541.40625807E-03
-4.80000E-06,+1.30468750000E+00,+573.43750854E-03,+544.92188312E-03
-4.79000E-06,+1.31250000000E+00,+576.56250859E-03,+548.43750817E-03
-4.78000E-06,+1.32031250000E+00,+579.29688363E-03,+551.95313322E-03
-4.77000E-06,+1.32421875000E+00,+582.03125867E-03,+554.68750827E-03
-4.76000E-06,+1.33984375000E+00,+584.76563371E-03,+558.59375832E-03
-4.75000E-06,+1.34765625000E+00,+587.50000875E-03,+561.32813336E-03
-4.74000E-06,+1.35156250000E+00,+589.45313378E-03,+564.06250841E-03
-4.73000E-06,+1.35546875000E+00,+591.79688382E-03,+567.57813346E-03
-4.72000E-06,+1.36328125000E+00,+594.14063385E-03,+569.92188349E-03
-4.71000E-06,+1.37109375000E+00,+596.09375888E-03,+573.04688354E-03
-4.70000E-06,+1.37890625000E+00,+597.65625891E-03,+576.17188359E-03
-4.69000E-06,+1.38281250000E+00,+599.60938393E-03,+578.51563362E-03
-4.68000E-06,+1.39062500000E+00,+601.56250896E-03,+580.46875865E-03
-4.67000E-06,+1.39453125000E+00,+603.51563399E-03,+583.20313369E-03
-4.66000E-06,+1.39843750000E+00,+605.07813402E-03,+585.54688373E-03
-4.65000E-06,+1.39843750000E+00,+606.64063404E-03,+587.89063376E-03
-4.64000E-06,+1.40625000000E+00,+608.20313406E-03,+589.45313378E-03
-4.63000E-06,+1.40625000000E+00,+609.37500908E-03,+591.40625881E-03
