time	V(N004,N003)
0.000000000000000e+000	0.000000e+000
2.048607131952037e-009	4.269885e-004
4.097214263904073e-009	8.500892e-004
6.145821395856110e-009	1.269302e-003
8.194428527808146e-009	1.684627e-003
1.024303565976018e-008	2.096065e-003
1.229164279171222e-008	2.503615e-003
1.434024992366425e-008	2.907277e-003
2.775634396715146e-008	5.467888e-003
5.064018560839610e-008	9.543301e-003
8.342371827093101e-008	1.480223e-002
1.297440166319619e-007	2.122063e-002
1.911690411259153e-007	2.822883e-002
2.728600900727141e-007	3.551230e-002
3.783519863030153e-007	4.254131e-002
5.162368434592090e-007	4.936529e-002
6.957250670627475e-007	5.665694e-002
9.362616142013064e-007	6.678534e-002
1.268714357573265e-006	8.513850e-002
1.768159595171896e-006	1.250757e-001
2.586294101378624e-006	2.166445e-001
3.706861418960357e-006	3.769280e-001
4.936494341030484e-006	5.826724e-001
6.334481719105318e-006	8.368903e-001
8.006628378000291e-006	1.148955e+000
1.011158966671138e-005	1.533233e+000
1.282464468110522e-005	1.990432e+000
1.643555164978924e-005	2.510027e+000
2.026496191814623e-005	2.951596e+000
2.195572129557030e-005	3.096074e+000
2.366759961246067e-005	3.193113e+000
2.600379391305675e-005	3.267105e+000
2.813407817250779e-005	3.268363e+000
3.159057545855664e-005	3.131435e+000
3.631244222964972e-005	2.716072e+000
4.238470184320957e-005	1.874790e+000
4.816203316288083e-005	8.454022e-001
5.260249501429240e-005	-3.971666e-002
5.711946625294255e-005	-9.422292e-001
6.175677469881681e-005	-1.771778e+000
6.803397038384357e-005	-2.703142e+000
7.030450406949385e-005	-2.961281e+000
7.198535058769399e-005	-3.097839e+000
7.370338724821702e-005	-3.194811e+000
7.601717217042142e-005	-3.267394e+000
7.815584530022787e-005	-3.267962e+000
8.162575312409960e-005	-3.121037e+000
8.716962186863952e-005	-2.611257e+000
9.292592150168828e-005	-1.792239e+000
9.843047451319593e-005	-7.941976e-001
1.028541477302634e-004	9.093839e-002
1.073532666082004e-004	9.869253e-001
1.120920431593084e-004	1.834425e+000
1.176268331408582e-004	2.659142e+000
1.200081058794812e-004	2.933993e+000
1.217635325431723e-004	3.082410e+000
1.234359257300266e-004	3.184755e+000
1.252574602000423e-004	3.256408e+000
1.269192201593920e-004	3.279739e+000
1.296221813188968e-004	3.225944e+000
1.339857300258143e-004	2.949203e+000
1.393496108672936e-004	2.332537e+000
1.456865565615611e-004	1.309415e+000
1.503938760405149e-004	4.071418e-001
1.546409454961384e-004	-4.536539e-001
1.589051058459852e-004	-1.276453e+000
1.644926848464722e-004	-2.219190e+000
1.685984145513133e-004	-2.780430e+000
1.707181249313584e-004	-2.999786e+000
1.722959300935062e-004	-3.119402e+000
1.740796032460818e-004	-3.212811e+000
1.761575832965318e-004	-3.270880e+000
1.783842732260109e-004	-3.263423e+000
1.819946864915303e-004	-3.106887e+000
1.867045606954404e-004	-2.672300e+000
1.928986734415180e-004	-1.791535e+000
1.984340952307389e-004	-7.936020e-001
2.028255832366059e-004	8.522138e-002
2.072871680176068e-004	9.742065e-001
2.120456774832094e-004	1.826002e+000
2.176331530779881e-004	2.659560e+000
2.200126938831426e-004	2.934398e+000
2.217669611824725e-004	3.082648e+000
2.234400516426548e-004	3.184935e+000
2.252647861499044e-004	3.256564e+000
2.269311485197478e-004	3.279728e+000
2.296415497236419e-004	3.225188e+000
2.340167562192169e-004	2.945973e+000
2.394245109062907e-004	2.321719e+000
2.457519064296047e-004	1.297551e+000
2.504511412615444e-004	3.956226e-001
2.546980729809509e-004	-4.651597e-001
2.589616303048771e-004	-1.286786e+000
2.645699148178817e-004	-2.230996e+000
2.686244634045816e-004	-2.783591e+000
2.707372861784898e-004	-3.001469e+000
2.723103457550697e-004	-3.120354e+000
2.740971117974184e-004	-3.213600e+000
2.761641089434000e-004	-3.271036e+000
2.783948881561102e-004	-3.263193e+000
2.820118202915350e-004	-3.105792e+000
2.867221947251638e-004	-2.670289e+000
2.929207939103559e-004	-1.787918e+000
2.984456818277544e-004	-7.913879e-001
3.028350969131325e-004	8.716238e-002
3.072943378276378e-004	9.755706e-001
3.120580986564886e-004	1.828081e+000
3.176390436367687e-004	2.660316e+000
3.200169705493689e-004	2.934813e+000
3.217701572994857e-004	3.082879e+000
3.234438979832328e-004	3.185111e+000
3.252716156366435e-004	3.256711e+000
3.269422684902603e-004	3.279719e+000
3.296596049114344e-004	3.224480e+000
3.340456749395758e-004	2.943343e+000
3.394611573120771e-004	2.316553e+000
3.457904631590969e-004	1.290476e+000
3.504857795963285e-004	3.886547e-001
3.547316830402052e-004	-4.719311e-001
3.589938314207716e-004	-1.292660e+000
3.646154902631394e-004	-2.237924e+000
3.686404630583062e-004	-2.785517e+000
3.707490584505491e-004	-3.002500e+000
3.723192036256420e-004	-3.120938e+000
3.741078720993737e-004	-3.214083e+000
3.761681190955779e-004	-3.271132e+000
